Distance_km,Pace_min_km
0.7,5.1424457471973675
12.0023,6.4674686327771305
11.436200000000001,5.296049147336088
6.8938999999999995,6.720430107526882
10.352,6.07385811467444
7.3424,8.392077878482713
8.1459,5.975857535556353
10.4449,6.870019236053861
4.5978,6.154603643525357
13.9981,6.346788525006347
4.132,5.99736116108912
7.9367,5.935422602089269
9.9952,6.3083522583901095
3.5091,6.535947712418301
3.6216999999999997,5.642067253441661
5.0396,7.620789513793629
8.9976,6.861534239055854
13.0034,5.969436485195798
9.0235,6.541077969649398
14.0155,7.891414141414141
10.4032,6.799945600435196
5.0126,6.24687656171914
5.5252,5.88512241054614
0.24730000000000002,5.391998274560551
10.0275,6.03864734299517
12.2486,6.366182836771072
10.726799999999999,6.870019236053861
1.962,8.063215610385422
7.8155,5.926979611190138
10.5815,6.407791874919903
5.081300000000001,5.967299200381906
10.149,6.165988407941794
16.1197,6.289308176100629
10.169799999999999,6.811061163329247
5.0735,6.260956674179814
12.166799999999999,6.574621959237343
9.5191,7.053180984624065
2.1879,6.186587478346945
