"Distance_km","Pace_min_km"
4.8768,6.16827041697508
9.1257,6.13421666053245
5.3312,6.00817111271329
10.0684,5.68828213879408
10.4597,6.73128702207862
12.0869,7.34214390602056
5.6196,6.02337067823154
7.8021,6.12294881214793
11.2265,8.41750841750842
5.4482,6.33472697326745
5.4704,6.15460364352536
11.0325,6.81384573453257
6.3481,6.00168047053175
5.0082,5.14880032952322
0.7,5.14244574719737
12.0023,6.46746863277713
11.4362,5.29604914733609
6.8939,6.72043010752688
10.352,6.07385811467444
7.3424,8.39207787848271
8.1459,5.97585753555635
10.4449,6.87001923605386
4.5978,6.15460364352536
13.9981,6.34678852500635
4.132,5.99736116108912
7.9367,5.93542260208927
9.9952,6.30835225839011
3.5091,6.5359477124183
3.6217,5.64206725344166
5.0396,7.62078951379363
8.9976,6.86153423905585
13.0034,5.9694364851958
9.0235,6.5410779696494
14.0155,7.89141414141414
10.4032,6.7999456004352
5.0126,6.24687656171914
5.5252,5.88512241054614
0.2473,5.39199827456055
10.0275,6.03864734299517
12.2486,6.36618283677107
10.7268,6.87001923605386
1.962,8.06321561038542
7.8155,5.92697961119014
10.5815,6.4077918749199
5.0813,5.96729920038191
10.149,6.16598840794179
16.1197,6.28930817610063
10.1698,6.81106116332925
5.0735,6.26095667417981
12.1668,6.57462195923734
9.5191,7.05318098462407
2.1879,6.18658747834694
